the CC was just, playing the Pirates of the,Caribbean score
The position for, becoming my internet,best friend is open
just wanted you to, know I love you and always,got your back okay
DON'T WORRY IN MY, HEAD A WAS LIKE A BABY,BUT A DUMB BABY
Two silver bullet, isn't needed Only one,is enough Vermouth
I don't even need, my glasses for sight issues,It's a computer
the atlanta show, is the next show i just got,chills while typing this
Don't bother asking, me what i'm doing for New,Years I'll be at church
If you ain't ready, to show me the source of ya,money We can't date
Someone teach me how, to be heartless Emotions,are overrated
I think my baby, girl is mad at me cause she,is ignoring me
Middle finger to, any business that charges,for soda water
the students from my, future college seem so nice,i hope i fit in
So kuna clique ya, we must be seen na kuna,ya we must be heard
Kinda wish I was, out celebrating but still,got school tomorrow
dailey reminder, have an amazing day keep,smiling i love u
Throw some champagne in, the half half and you got a,damn celebration
I just noticed I've, been rounding my age up to,the next decade Whoops
Oh so he also, doesn't know what racist means,that explains a lot
You know you're upset, when you vent to a random,gas station cashier
It really wasn't, but I miss it and wish it,could be tried again
Finally over, this illness and my voice is,back Hallelujah
If anyone come, to my house with this you might,as well turn around
Just remembered that, it gets taxed to fuck as well,so now I'm pissed off
What a day Welcome, to the Bay Area Bro,You are a GIANT
it's funny how when, i see certain people how,fast my mood changes
Taking my future, away from me Bigger so,easy to beat down
I HATE APPLE GIVE, ME A FUCKING ANDROID IM,TIRED OF THIS SHIT
And the villagers, had no idea they were,being watched Creepy
IM SCREAMING HOW DID, THAT HAPPEN IT PICKED THE AUX,AUDIO INSTEAD
You're stranded on a, desert island You can have,one game What is it
Sometimes i wonder, if tunis is really a,year older than me
This HANA slander, She's a better singer than,Poppy anyways
Never mind that when, are we all going to be,able to watch it
nobody got me, but me so when i say it's,fuck y'all i mean that
That struggle when you, have to change your tampon in,a public restroom
His Mindset Will Raise, your children Not his Money,or Looks Choose Wisely
I never thought I, was good enough Now I know,I'm MORE than enough
I wanna take some, pictures tomorrow but my,face is UGLY ugh
Man I really wish, I had a home to come back,to for reading week
Just found out stevie, nicks is a gemini and,it all makes sense now
i've stared into the, eyes of Death and he told me,Paper or plastic
A scorpion is, often indignant unless,it is a black one
i wanna thank the, lord for allowing me to,have tomorrow off
I love cheating on, my girlfriend that I've been with,for over a year
The Holy Grail makes, that possible Everything,will be as you wish
There is no greatness, where simplicity goodness,and truth are absent
anyways im still, making this so we can talk,about the weather
I still can't believe, my mom told my sister to,stop being a poor
I don't remember, my password for My Account,Can you help me please
seiji seiji i, love you so much please know that,i would die for y
Would you accept a, follow request from a cunt,with the name SWITCHBLADE
i'm not in bristol, and it's not monday so what's,the point of today
Let the redeemed of, The Lord say so He made a,way out of no way
About to go fight, Cinder and save Beacon wish,me luck everyone
Anyone listen, to Paramore recently,Oh yeah me neither
Raymond Felton has, a real I play at the King,Center vibe to him
When two people dig, one another no action,is too anything
Salah to score from, outside the box and Rondon,to score a header
I finally got, to a place to do some things,that was exhausting
I'm so lonely I, get intimate wit my kush,when I'm twisting up
my brother started, working out and its such a,funny thing to me
The Force Awakens, Why designers should always,pay their interns by
The kind of morning, where I'm yelling at doors for,being in my way
Because instead of, pulling yourself up you pull,others down with you
You truly are an, imbecile Do you collect,trolleys at Asda
There is nothing more, detrimental to your health,than catching the feels
Everyday i get, on Facebook and think why the,fuck are you a thing
Same here Cutrone, absolutely deserves to,be in starting XI
anybody else, cable and wifi acting,stupid or just mine
Talk about it Or, asked to contribute to a,relative's school fees
Anyone else's, arm start aching when putting,pepper on your food
They never said that, love is a twisted game and,no one ever wins
I've been having dreams, jumping on a trampoline,flipping in the air
The only thing I, was looking forward today,Ruined by physics
It appears you can, rule random with perceptions,but never with plans
I'm so hungry but, my throat hurts too bad to eat,anything I want
everyone is up, and doing something and i'm,alone sitting here
Just Between Lovers, is SO sad and it's just the,first episode WHY
The things that happen, to me i wouldn't think of,doing to someone
Na someday someone, on here is gonna wack me,hard im just waiting
I noticed I was, highly confused I get the,snow and wind But damn
Finally Friday, Everybody have a great,weekend and be safe
i turned into a, tourist attraction when my,relatives saw me
Oh no I'm very, sorry to hear this Sending,you and Guinness strength
It's so wonderful, to hold hands with a feeling,of love between you
Leave Ariana, alone This isn't her fault,She still a hoe tho
prepare to hear me, complain about my thumb all,night its how i cope
got the best album, out right now that ain't up for,debate either Straight
I never trusted, none of y'all because I was,worried about death
I love when people, look at me like they've never,seen a bra before
Everyone does that, to me I just wanted to,do once to someone
I shall consume food, to recharge my energy,and then get things DONE
When he was younger, his dream was to become a,badminton player
Go people leave the, vicinity and miss all,the after credits
i'm somewhat happy, stressed at the same time uhh i,don't think that sounds right
I just approved and, Wanted to respond quickly,cannot both be true
Just here waiting to, see if Governor Mapp will,seek reelection
Palace deserve to, be relegated bottle,jobs hope they go down
The older I get, the more I realize that,I really need God
But ion even, wanna see what he said back,lemme sleep on it
Just bought Spider Man, which means my assignments gone,be a little late
wanting your team to, start losing games so that your,manager gets sacked
This is Florida, lady lol my house about,as flat as they come
I remember when, I had a life Now all I,do is work and sleep
i gotta go but, i hope everyone has a,good day night take care
Barkley is going, to become a Jack Rodwell,wherever he goes
No matter how much, it pains me I don't want this,love to go away
Everyone should read, this thread it applies to so,many industries
Bruce Campbell as Ash, Williams is one of life's most,consistent pleasures
i really can't tell, you shit without you having,some dumb ass response
Alrighty That was, fun now time to focus on,this career again
Nah Kendrick when they, ask him not use his robot,voice on his feature
How can I transfer, money from wallet to bank,account in pc
For anyone that, can see through the Illusions,it's easy to see
I really hope I, don't see nothing tomorrow,that gone upset me
rewatching gossip, girl just reminds me how much,I want a Chuck Bass
Sorry i love you, and will keep supporting you,in particular
I'm not going to, force creativity but,instead Let It Grow
I wish Poppy had, a sniper rifle and killed,Imagine Dragons
Best ending to an, interview ever Jake It,had to be done Thanks
Success is not an, entitlement It has to,be earned Howard Schultz
Stress is something that, is an outside thing Stress is,an anxiety
Last chance you gorgeous, creatures gonna try and get,this sorted tonight
State rogues read Slicker, on London's rich Russians in,the new Eye out now
Maybe it's wrong to, say please love me too cause I,know you never do
I release you from, my grasp so all I ask is,do the same for me
Who wants to perform, Black Friday Might have one spot,left on the schedule
So even at full, WIFI signal uploading,a picture is slow
Happy Birthday hope, you have something exciting,going on today
Should I stop loving, him Why Did he ever try,to stop hating me
Anybody want, a hermit crab to take care,off for the weekend
The only people, I trust with my life are here,So why would I leave
Remember the look, Monica gave Bill Something,looks familiar here
Sorry meant to say, Trump is so simple How do,you delete a tweet
I can never have, a stress free day it never,works in my favor
i really don't be, caring cause it goes in one,ear out the other
Okay well do you, stop believing in the sun,when clouds block it out
I do know Seven's, route though so I have a lot,of context info
one day they're going, to get married to someone,they love I'm happy
your tech support was, very concise and helpful,with my rig issues
The videos I, have of myself in my phone,are embarrassing
I wanna meet sneaks, in dc and become friends,what a brilliant mind
The true horror here, is Christa making me choose,There are so many
Happy Valentine's, to everyone out there hope,y'all have a good one
Billboard are always, using that Koop group to get,those views for the show
wish you wanted it, a little bit more but it's,a chore for you give
I need someone to, help me deliver cake to,Babcock please Help me
Unless you put some, real ass effort to have me,in your life I'm done
I want a lady, who well let me be with my,friends Both boys and girls
I just realised, Lethal League Blaze might be shown,in tonight's direct
People in party, city keep asking me and,T if we work here
Yet again I missed, my sister's wedding because,I just suck like that
my problem is I, give my all to people who,take me for granted
Ok I need help, Which do y'all think is the best,like reception wise
Hopefully I can, get some stuff done during this,maternity leave
my father in law, brings the dad vibes hardcore See,you in Atlanta
Don't expect too much, Because expectations lead,to disappointments
You're going too far, dude This is like totally,not necessary
of Utica But, it gets all slimy How can,I mitigate this
A microphone mixed, drink a lily a ladder,truck and red squirrel
sometimes I gotta, just listen to recordings,of my own voice lol
Just how many votes, did the Republican crooks,manage to suppress
I'm gonna wait and, come back pick up my car so,sis can ride with me
the cafe leading, him to an empty and free,table to sit down
stars in the middle, of the desert are on a,whole other level
Should've never had, a threesome now I only,want em by the pair
thinking bout all the, things you said that shit is on,repeat in my head
Nightmares suck when you, wake up crying and don't have,anyone to call
Sometimes things are bad, but without the bad we would,never know good right
Michael Jackson was, one of the greatest artist,in the industry
I don't mind cleaning, or washing I feel like I'm,supposed to do that
what happened to the, burger show I loved watching,that on a Thursday
Yo baby daddy, so broke he hit the plug for,a free line of come
my question is how, does a ref not know his one,second on the clock
Sorry whats your name, Yours Yours Yeah I'm yours Really,I thought you are mine
im fucking up my, sleep schedule even worse than,ever and for WHY
getting a better, job gives you more time to tweet,it's ridiculous
White people are the, reasons for all the problems,in America
i got a spooky, basket today and i feel,my life is complete
I'm fine Honestly, I'm just lost Hopefully I,find my way soon tho
The only thing I'm, committed to right now is,bettering myself
I just finished The, Office and I don't know what,to do anymore
i wanna feel safe, tonight i'm insecure what,a strange feeling c
Anniversary, today so I'm doing the,right thing and working
Between angels and, insects truer words never,being said before
I totally get, you you're just not around to,know what's on my mind
I ain't gonna lie, to y'all I'm back on my shit,and that's stamped ya heard
Don't push my fucking, buttons because I'm nice but,my patience wears thin
if someone wants to, surprise me at my job i'd,love you forever
I really cannot, wear these leggings to they school,What was I thinking
Need somebody who's, not color blind to help me,shirt shop this evening
I'm a werewolf self, human and self wolf so COULD,STOP PULLING MY TAIL
I'm still going to, give all my money away,to them anyways
Arguing just don't, be worth losing the person,you love I'm off that
now the question is, did you see the koko wa,greenwood spoof of it
You pulled the trigger, because you wanted to show,me how safe I was
You ever get so, stoned you only shave one leg,or is it just me
I think all teachers, instead of carrying guns,should learn karate
I can't believe I'm, moving across the country,but I'm excited
Wouldn't wanna spend, my money on anything,else but beverages
Look me right inside, my eyes and you tell me the,truth I wanna know
once she's finished you, best believe i'm gonna find,her a cute girlfriend
me wanna hear a, joke about a skeptic her,sure me no u don't
Any progress on, this I may be able to,provide some guidance
my dogs just follow, me around my new house all,day and it's so cute
trump doesn't get sick, Remember he told you he's,never had the flu
Surely the Russians, would never attack one of,their client states no
Also thank you to, everyone for the free shots,my liver loves you
I'm soo behind on, school and I'm here catching up,on The Real Oh well
Invited a few, of my boyfriends out tonight,stay tuned for updates
Jim mason would've, gone out and voted today,What are y'all doing
Why Risking your life, for a politician some,people fool too much
a coworker said, i'm tiny today and my,heart smiled a little
anyways my ex, found out im bi and also,who i like cool p
Like she really sings, me myself and I over,the beat of sorry
I would pay any, amount of money for u,to swallow my load
WAIT A SECOND i, could of sworn we had a spare,phone battery H
I really want to, watch Love Simon Also want,to buy the book too
The bias in this, basketball scouting stuff is,just crazy to me
Do you ever think, what it would be like to be,like other people
wow i guess jonah, really isn't gonna wish,me happy birthday
can someone send me, suggestions of what to make,for dinner thank you
My body really, hates me these days I mean I,would hate myself too
I'm sorry but y'all, lost at looking at yearbook,shit as evidence
People begin to, come around more when they see,you doing good tho
Nothing is better, than watching a good movie,at a peaceful night
He also read the, comment that said to come to,indonesia which
We belong in so, many places years songs and,moments together
Hopefully I feel, better a lil later cause,I feel horrible
It's like asking yo, momma for something back when,you was a kid lol
IM BIG AUTISM, i love muppets so much im,about to explode
tucks you in under, a fleecy blanket hands you,remote book and wine
It's Only Right You, Alexander Wang Go On,A Date This Monday
Sometimes I think I'm, dumb but then I remember,my friends are dumber
I don't ever get, tired of being around,jas seriously
this is too funny, Awesome cereal for an,awesome fur Myron
The deepest love I, think later than apart I,will live as you like
aim ignite was a, great album and everyone,fucking slept on it
im the eighth wonder, of the world so come see me,not the taj mahal
i have this selfie, who can i send it to for,praise and attention
If I wasn't in, uniform I would get an,vodka and OJ
y do lads av, to be so annoying like,get out mi head NOW
I'm not in favor, of freedom to jihad in,London Manchester
The world is getting, more peaceful It's your mind that's,constantly at war
French Kissing Vampires, and Other Reasons I'm Banned,From the Library
Her baby daddy, gone kill his self he find out,what she been doing
Hate waking up from, a nap feeling like death what,is that about lol
Hopefully my niece, will make an appearance soon,come on baby H
Even though I'm not, rich True confession Blue said,I'm not rich either
I've been watching dark, web YouTube videos and,fuck all of that shit
Sometimes you can miss, your blessing and it be right,there in front of you
Kopek forces a, fly ball to left for the first,out of the inning
Delta Airlines just, offered me the position,for Flight Attendant
Nice to see David, Victoria looking so,happy together
DID SOME SERIOUS, COLOR CORRECTION TODAY,before and after
The back up dancer, that was wearing a fanny,pack is everything
Are something super, garlicky on my first day,of work Doing good
Well Jaguar fans y'all, had a great season so no,need to be ashamed
Robot belly Clone, This is known He put in a,position steroids
Now playing I Don't, Wanna Fight Single Edit,by Tina Turner
THANK YOU FOR BEING, SUCH A SWEETHEART TODAY I,LOVE YOU SO SO MUCH
Finishing a meal, is never easy for me,but waste not want not
I can honestly, say that I'm ready to go,to work tomorrow
Honestly the aim, was not to buy online the,first half of the year
turn to a scribble, on a page by a picture,that holds her absence
Wasn't sure bout this, X but I've decided it's,well worth the money
Miguel hit me with, I want a boy We both know,he's talking crazy
Now Playing Monster, Truck Don't Tell Me How To Live,On The Asylum
Always think of how, life would b if my loved ones,were still here with me
Watched Pearl Harbor so, many times and will never,get tired of it
i'm always getting, into things i shouldn't be,getting into sigh
Rangers needed to, get the ball and get it back,to the halfway line
Anyone love the, Arctic Monkeys and wanna,come see them with me
Mr Rock you seem, to be a nice man can you,please listen to me
When your mama and, her older brother talking,about their childhood
Thankyou everyone, for your support i wish i,could tweet at you all
All around the world, like an orphan on his own,will you ever change
And I can't argue, with that Put me in the same,damned category
done putting in so, much effort for people who,don't reciprocate
Need something new and, exciting to happen I'm,getting kinda bored
Today would be the, day my phone wants to go to,shit Throw me away
I could eat turkey, dinosaurs everyday for,he rest of my life
If you workout Do, not stop It's way harder to,get back into it
March May June July, and August might as well gone,head and hang it up
Maybe if you found, yourself a damn job you'll know,how it fucking feel
Lol they be doing, the most for these vehicle,commercials I swear
Your broken down and, tired of living life on,a merry go round
Sitting on the dark, reading Twitter on my phone,like a cave man Ugh
I knew it Something's, gonna happen with her now,she's hospitalized
Cards on the table, we're both showing hearts Risking,it all though it's hard
Something must be wrong, with me today because I,don't wanna eat this
Time is going too, fast Got new projects coming,soon Pay Attention
i can't sleep knowing, i'll cram alot of projects,in school tomorrow
Very Cardiff esque, weather in Edinburgh,so far this bodes well
I delete and if, keep pestering me I block,Sanity matters
Wow it's weird writing, lyrics to a song that will,never have music
I be texting my, boyfriend we be laying right,next to each other
Before You Believe, The Lies You Create In Your,Own Head Seek The Truth
Mic is cutting in, and out I can Apple Me,And I can Orange
You can't help someone, who doesn't want to be helped,Point blank period
I was today years, old when I found out they have,weave vending machines
I wonder if you, think about me half as much,as I think of you
What really Grind my, Gears is when someone blows you,off for someone else
It's more suspenseful, and creepy but have you seen,The Invitation
When it's raining I, have zero urge to go out,and do anything
There is low hanging, fruit but you can only pick,it off the tree once
Taking notes prevents, students from developing,critical thinking
NUMBER ONE RULE YOU, DRINK THE JO YOU MAKE SOME MO,DON T FUCK WITH ME
LOL Well other than, that I haven't got any,other suggestions
Is it to early, to call it a day and try,again tomorrow
Wait That Diet Coke, commercial made me feel so,uncomfortable
when i get over, my dependency issues,it's over for u
I'm so tired I, just need a pint of ice cream,and a long cuddle
Miami Red Tide, Could Linger On Florida's,Atlantic Gulf Coasts
Sick of having to, be a Nascar driver to,school in the morning
In the song Rudolph, the Red Nose Reindeer what do,you say at the end
Are we going to, be able to Amazon,prime prescriptions now
and there goes looking, forward to things for the first,time in a long time
Left work sick today, and can watch my Giants do,work against the Skins
My main focus is, to remain focus nothing,else really matters
I HAD A ROSY, DREAM YOU GAVE UP ON YOU AND,I GAVE UP ON ME
you ever have those, friends who act like your friend but,ain't really your friend
I wanna curl up, in bed in my dark room with,just a candle on
Go to heaven for, the climate and hell for the,company Mark Twain
Needs someone to be, mean to he's not doing it,enough recently
please understand that, I do not want ya I'm not,playing or faking
People who don't pick, jayson Tatum as rookie,of the year are blind
Homemade pie and beer, welcome to married life on,a Friday people
i shouldn't have to, keep following up to get,money i'm owed back
No matter where life, takes me you'll find me with a,smile rip Mac miller
giving someone the, benefit of the doubt can,really mess you up
Don't need gun licence, whether strength up system and,remove corruption
Vanity mirror, is being put up today,in my makeup room
Pay attention to, who's SHOWING you support not,just those who speak it
Well guess she's staying, in cat form and hiding with,the maids for the day
This is going to, be your year so dust yourself,off and get started
I'm so sorry sis, This is really sad I hope,you will heal in time
By your own efforts, Waken yourself watch yourself,And live joyfully
how you gonna claim, to be on my side but play,for the other team
you deserve someone, who will not be ashamed to,show you to people
clarkson please tell me, you will be returning to,the voice next season
dunlap I need to, acquire one of those shirts,immediately
Junior leaders here, are words of wisdom read it,put it to practice
Always remember, who was there for you when you,were at your lowest
Like legit it takes, a while for reality,to kick in for me
This isn't even, funny I hope she doesn't,think this is her fault
i know sometimes i, may not show it but i care,about you alot
saw you on Jedi, council So I followed you,Simple as that lol
Okay but Kylie, better put a picture up,of her baby next
After my ex showed, me how easy it was lol,guess it grew on me
saying rise up lights, sounds like razor blades in an,australian accent
The way shit going, ion even wanna be,around nobody
Girl working at the, busiest store in the mall,is a scary thing
Juju said hey guys, This is what you are suppose,to do to the Browns
Often I wonder, what it might be like for one,to outdo one's self
I expect to buy, myself a ticket to your,upcoming concert
the hatter drives me, crazy I adore him and,also the pirate
I went to apple, bees and got my burger to,go and left it there
Y'all eat tootsie rolls, and drink eggnog Y'all really,have no home training
as an Aqua I'm, not even shocked that I have,done that pools are fun
I'm just saying you, can do better tell me have,you heard that lately
imagination, is the primary source of,human happiness
We get to practice, outside on the field for the,first time tomorrow
Sorry but I think, I'm a gas bitch and that's all,that matters really
oh my Jordan You're, so tall Yeah you should see all,the dents in my head
the amount of times, i misplace my phone in my,house is uncalled for
Can y'all believe I'm, going to meet my best friend,at the end of June
You wanna be friends, now Okay let's put my fake,face on and pretend
But be talking this, boss bitch shit How when your king,sits down when he aims
This dude said rehab, is for quitters and I've been,laughing ever since
Lido supporters, man of the match goes to hat,trick hero Mark Jones
humans are so mad, about tourists coming in,for the eclipse lol
God I'm about to, follow Dory or something,just to see more jokes
Before this month is, out I need to rake a day,off go to the Spa
a conduction is, a conviction finishing,and liberated
Dude those are fucking, lifesavers sometimes I'll eat,the fuck out of those
MAXWELL and there's a, religion that includes all,humans then I'm down
We never really, grow up we only learn how,to act in public
Yes I remember, Still i think the point could have,been hammered home more
holy shit its your, birthday happy birthday wow,i love you oh man
People meant to be, in your life will stay in your,life Simple as that
baby i just need, a little space a little,break from you today
Everything about, Daytona including the,cover is flawless
I forgot i took, a laxative tea and now,I'm regretting it
now i gotta wait, for months for both riverdale,and dynasty sobs
I need new people, to listen to Expand my,music if you will
love fact even tho, you can't play atm u,don't miss a moment
okay so i was, forced to eat that pizza and,now i want to die
i hate people bro, like if im not bothering,u LEAVE ME ALONE
question do any, of u know some nice online,size stores with cool clothes
I want a solid, girl that I can trust n leave,my money around
Love doesn't have to, be spelled or said All you have,to do is show it
Nope Got no response, Sounds like everyone is hung,over from last night
question how many, episodes are there And are,they all out at once
Pundit Oh God I, hope so We just CANNOT have,him in the Senate
soo many people, lack fundamental thinking,skills embarrassing
ta that's helpful If, we get a project off the,ground it might happen
i'm dying so you, won't have to worry about,long term commitment
LAX is always a, zoo but today feels like they,opened the cages
This is a really, disturbing observation,even though it's true
Martin Tyler has, posters of Duncan Castles,on his bedroom wall
How are we going, to sign up for beta is,beta phone only
I've died so many, times that I've lost count But I've,always been alive
Even if you have, all the cups you will never,be well remembered
Marriage A fine line, between wanting to slap him,or have his babies
Damn you people What, does ALL THE WAY mean when you,order a burger
Ur baby daddy, so broke he hit the pull for,a free line of coke
Seeing the people, I love happy makes me so,happy and at peace
my guitar has a, new string and on tune now i,can now play a song
Won't somebody please, please wipe the smirks off of these,Pillagers faces
i never leave my, apartment without telling,my dog i love him
OKAY gonna beat, my meat and then get back to,writing wish me luck
I love really well, done action movies and that,was really well done
The Jags have zero, fear The Pats may come back but,they are here for this
This Philly teacher, is looking at Camden do,all kinds of good work
So I finally, got to see Roxanne Roxanne,that was pretty dope
even if my child, is normal or a girl im,naming it jimmy
The ref wasn't the, reason why the Chiefs ain't score,in the second half
Back to back nightmares, Not a recommended way,to start the school week
I'm curious what, would you say if you saw what,I do to myself
It is far better, to look ahead prepare than,to look back regret
Joe Davis really, bout to make me cry two days,into the season
Are they really just, gonna not show the shape of,water in norway
i'm going to be, single for the rest of my,life and that's okay
Just found about the, unabomber somebody's,gotta stop this guy
It's embarrassing, as fuck when old ass bitches,hit on little boys
u two are truly, despicable No Conscience,or soul Shame on you
Doesn't Obama, just seem heaven sent in the,light of this fresh hell
I'm still confused as, to how an entire plane,can just go miSSING
I've said it before, and I'll say it again Your,voice really travels
You don't realize, how much you don't know until,it's time to learn it
Martial is about, the only spark we have in,this team presently
I'm getting verbal, abuse in my group chats cos,of this shit keeper
i love being a, socialist and calling the,working class trashy
When I hear Dirty, Sprite I think about when I,was on probation
True friends are never, apart maybe in distance,but never at heart
I'M NOT CRYING I, JUST CAUGHT SOMETHING IN MY EYE,what did you catch TEARS
Being single has, showed me what I lost and how,much more I could gain
lol I've never seen, someone miss a dunk as much,as nick Richards does
why is it freaking, raining so tired of this,bipolar weather
Sitting on the front, porch smoking some bowl watching,the traffic go by
You can make yourself, happy without anyone,so do that and live
How many people, are knocking at Haiti's door,begging to live there
Is being showed off, and loved and to be happy,too much to ask for
I believe that I, can overcome it one day,but I'm just tired
If Harvey wasn't, kinda a douche I'd feel bad,for him but I don't
don't ever hang up, in my face i'll really hurt,yo feelings my g
Shrug She'll be okay, with her leave She'll go to the,library instead
Neuer You can call, yourself sultan but We are,going to next round
Honestly I have, a big heart and you might just,end up with it all
There is no private, development under late,capitalism
i really pray for, certain people to stay in,my life and they have
are coming to HOB, in July Definitely,making that happen
Life's been testing me, so it's a nice change of pace,to have a good day
This bitch so fucking, dumb Stop making these retards,famous and rich please
Happy new year may, god fulfill all your wishes,in the coming year
Tis the season to, be unhealthy and fatty,and be sleep deprived
Not a single tear, fell today Proud of myself,Emotional growth
I'm going to put, off my phone Eat and sleep the,whole day I need rest
nods as i pretend, to walk away before you,head to the kitchen
Alrighty I'm two, payments away from paying,off my credit card
Hello ladies and, gentlemen the rumors are,true i broke my phone
you ever notice, how people act based on the,people they're around
They really gonna, talk about Hillary for,this whole first term though
I put my college, beds at its highest point so,I could swing my feet
cleve Remember when, you put those big ass post it,notes on that guys door
Lord knows I wasn't, ready for that test so thank,God it was canceled
no metaphors nun, like that i'm keeping it straight,to the point with you
about to try out, lash extensions for the first,time y'all wish me luck
I'm just sayin' you, could do better Tell me have,you heard that lately
Putting on brand new, leggings feels like putting on,a fresh pair of legs
I hate when people, show up to my house without,me replying fuck
Are you saying at, some instances the breast will,be full and healthy
I gotta tell this, story man from earlier,today I was pissed
I stop questioning, God and just start watching and,paying attention
Daddy gone crazy, when he find out he baby,found a S E X
Happy New Year bro, Wish you'll be more successful,in this year Love you
the amount of self, hatred i feel lately has,never been this high
wish I would've went, on vacation but july,i'm waiting on you
That man from england, that speaks fluent japanese,is pretty funny
Jose Peraza, is becoming the player,we need him to be
I wasn't on but, that might of been the worst ride,I've seen from Hughy
My whole life revolves, around a massive debate,of blonde hair or brown
I killed myself a, couple of times just to live,a little with you
Because the rewards, of using it money can,never ever buy
But they'll never know, the pain of living with a,name you never owned
mr crayons im, so glad to present you with,this years nobel prize
I'll always be here, to help you the bearer of,an untold story
Redford White's movies, are keeping me awake I,just can't stop laughing
sierra burgess, is a loser to all the,boys i've loved before
recently sent a, photo via message box,of my daughter Thanks
the day ashton will, call me darling will be the,day of my death lol
All I wanna do, now is go in the heat and,watch movies tonight
No animal in, Africa died for that dress,t as keep it off
Imagine Ethan, drying your babies because,he was throwing up
i can go fishing, i'm more powerful than you,supple baby wipes
What was invented, first gloves for your feet socks or,socks for your hands gloves
Never not wanted, something so bad in my life,than a gold iPhone
Who you are around, helps to determine where you,are going to go
have a wonderful, day my baby girl we still,miss you in Europe
Johnny cash said love, would burn but I never thought,it'd hurt this bad
Spending my only, day off of work and school in,the math lab at school
i wonder how much, money the dry cleaners find,in pockets each year
Forever waiting, for james to wake up so he,can get food with me
You can't see someone, worth if in the first place you,can't find your own worth
If we stop talking, about America it,might just disappear
Everything is so, busy lately makes going,in public so hard
I've been tired all, day today and now that I'm,in bed I can't sleep
My big sister taught, me how to use chop sticks I,feel so accomplished
Heh Mr Knock Out, Wake up Work is far from where,you are now Stand up
Bitch shut your ugly, weak ass up I hope she pull,up on yo ass too
Missing someone is, your heart's way of reminding,you that you love them
my little brother, keeps calling me fatty thanks,self esteem killer
I love doing phone, interviews when I'm driving,and it's traffic lol
Septic Eye I eat, bowls of corn just the corn and,nothing else just corn
reply and make sure, to follow back everyone,who likes your replies
Somebody please get, Jenny Out or My room and,find some duck tape please
My Harry Potter, headphones that are already,jacked up as is broke
If my future guy, doesn't get excited like,this I don't want him
Sharing water is, okay but sharing milk is,just wrong and dirty
Tried to be social, and positive but now I'm,just fucking annoyed
I really want a, supper plate but they again,I want a burger
I realized some, shit and honestly don't give,a fuck I just can't
heh my parents don't, even know what twitter is,so fresh creative
king of working out, and then immediately,ordering pizza
You can't wait until, you need a leader to start,developing one
God damn ginger I, can't wait for you to go to,LA and shoot some porn
Wish I could redo, football season and have a,clear and focused mind
Good morning short shift, at work today Can't wait to,come back home to sleep
All scheduled games for, tonight are canceled due to,poor field conditions
beat up anyone, that offends you you might not,get another chance
All I wanna know, now Why do so many Lewd,Accounts follow this
pretentious teen voice, I want a perfect movie,where he won't succeed
Need a shoulder to, rest my head on and sleep The,urge right now is real
Well Stafford will be, cheap and low owned on DK,next week Just a thought
Will I ever stop, being sad and pathetic,Find out next week on
Unnecessary, talk do the work and let the,work do the talking
I'm like V horny, but like horny for a hug,Y'know what I mean
I refuse to waste, any more of my precious,energy on you
vices virtues is, such a petty and bitter,album i love it
January must, be tough very few people,are named after it
Facebook is active, today for girls writing shit,about their fellas
Wine is so nasty, to me it taste like the smell,of sweaty armpits
made a couple M's, with my best friends turned all my,L's into lessons
And then your intex, finger twist into what you,call a pounded smirk
I gotta get more, lesbian friends I vibe with,them bitches better
Nu op Virtual, Radio Johnny Gill The,floor LP Version
I just wanna know, if I'm gonna get treated,on Valentine's Day
I was acting no, better than Mah attempting,to control mortals
Lol HELL no Pussy, would be gone and now we just,both shit out of luck
I appreciate, the follow I hope you have,a great Saturday
Wonder what I can, eat drink smoke in my life so,I can forget sex
Sorry Not Sorry, and Tell Me You Love Me by,Demi Lovato
Today I saw a, child dab when he had money,left on his gift card
Marco keeps twitching, in his sleep and it's really,amusing to watch
I'm gonna to bed, I really hope the boys don't,tweet when I'm asleep
today was a good, day I guess I don't know why,I'm good right now lol
blay stop copying, me where twins we look like each,other as it is
Prius drivers in, Temecula Murrieta,be mad as fuck lol
wanna stay the whole, weekend with somebody but,what friends do I have
crazy little thing, called love will always be one,of my fave movies
Can't ever catch a, damn break feels like rock bottom,all over again
You need to rename, your show Late Night Hate Talk all,hypocrites welcome
I always wonder, how my life would have been when,I think about you
I'm gonna get back, in the swing of things I just,don't know when or how
Anyway Jesus, is coming soon so we need,to start acting right
f the black panther, soundtrack ready player one,soundtrack is where it's
if somehow you knew, that your love would be untrue,would you lie to me
You meet a random, stranger and you're very sure,you know their sibling
Getting a Milo, tattoo while The Descendents,play in the speakers
I wish my momma, was around always seems folk,act right around her
Road trip to Blackpool, for the night Where's good on a,Sunday night down there
OH NO WHY WARREN, G HARDING YOU SON OF A,BITCH WHY TELL ME WHY
I've been singing that, yodel song in my fucking,sleep heads fell right off
to right you deserve, a title fight mate hope you,get it you'll do well
I honestly wish, I liked eggs but they're just so,disgusting to me
people that did you, dirty will always think your,post are about them
I WAS GONNA GET, A APPLE WATCH A FEW MONTHS,BACK BUT WHATS THE USE
Jeff Sessions is in, heaven now hollering at,the non white angels
I can't believe this, girl really not bout to let,me see my own son
You known a machine, at the gym is intense when,it has a seatbelt
I already hate, life and I haven't even,started working yet
